Feature,SPD,EOD,DI,AOD,Consistency
Feature_0,0.0062864870236317705,-0.007378425635787722,1.0126345559609644,0.003159562512846688,0.9362916666666675
Feature_1,-0.021252142367062077,-0.00531014868416313,0.9584325443987912,-0.00417602611494533,0.9362916666666675
Feature_2,0.002909474002934842,0.004734533856070144,1.005828719539045,0.0005835284909801348,0.9362916666666675
Feature_3,-0.024198611491018984,0.013856098406745843,0.9528247267704059,-0.0028646225557622546,0.9362916666666675
Feature_4,0.01373969618280424,-0.008526861067458147,1.0278304919273495,-0.008758579953889645,0.9362916666666675
Feature_5,-0.011233024390142232,-0.007320680715282801,0.9778070393329281,-0.005821922451769868,0.9362916666666675
Feature_6,-0.027084393808606833,0.008926277000654514,0.9473249177996438,-0.0007147615944440057,0.9362916666666675
Feature_7,0.01124403110077754,0.018219827153571733,1.022716367401571,0.005799580474081929,0.9362916666666675
Feature_8,-0.0008528068563518065,0.01363192015530279,0.9982979876676019,-0.002018709571770347,0.9362916666666675
Feature_9,-0.003773030490587692,0.0016939191279951027,0.9924921469225267,0.000910397407110887,0.9362916666666675
Feature_10,-0.025855409121620376,0.013340643274853736,0.9496712554351353,-0.0021985160068077585,0.9362916666666675
Feature_11,0.019993815790775804,-0.0011175520762649604,1.0407559677989597,0.006433850869161383,0.9362916666666675
